"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","gene"
"1",-0.0504144173414349,-0.0247562451220176,0.0170135943025457,-0.0102263297051688,-0.0228665731264107,-0.00463810544490269,-0.00714399524279235,0.0374532234553462,0.0123601352003243,-0.0200738648080359,"Tubb6"
"2",-0.0467836011478728,-0.0438336962488483,0.00985391280834142,0.0416679089820783,0.0160467404612126,-0.00725768459709341,0.0178337413421697,0.0108911683747642,0.0436570188440896,-0.0161895544214706,"Kcne3"
"3",-0.0420272026859706,-0.0301930221402682,-0.00990021874237445,0.0194165735637356,-0.00408097831586389,-0.00751275785699887,0.0296042704131158,-0.0045869858411812,0.0113259230410917,0.0115087632717439,"Pfkp"
"4",-0.0376808092764391,-0.0210671774460934,-0.00519129683686655,-0.0226928568046505,0.0104663842425771,-0.015026045269028,-0.0165132139426739,0.00889046985878806,0.00247379154445018,-0.00230013175371176,"Bok"
"5",-0.0376117852213568,-0.0260976386179729,0.0128370033862456,0.0186048398145645,-0.000913206242954782,0.000288975505493542,0.0170560041641122,0.00322264410936929,0.00255445350618342,-0.0403276958854704,"Apln"
"6",-0.0365618041861911,-0.0370642447041728,0.013824943599125,0.0522265253902691,0.0132294378917793,0.00762235129703727,-0.00232138062808924,0.00413232881183507,-0.0204006770437445,-0.0141699108381125,"Plaur"
"7",-0.0360658634575821,-0.053869060247133,-0.0483634486487272,0.0135329948934767,-0.0304316416049178,-0.0180012784520941,-0.0166385989396518,0.0244233114760639,-0.0311125836123602,0.00217036411658681,"Prnd"
"8",-0.0359963974023806,-0.0418835711962125,-0.00676402468894567,0.0363769929893808,-9.08880566361243e-05,0.00565297798298607,0.0100151415780345,-5.5519985505389e-06,0.0147233098778846,-0.0118850285247252,"Apold1"
"9",-0.0353393556498299,-0.0150399164907613,-0.013572880683248,-0.00553735857901861,0.00197348116062131,-0.00196100286475874,0.00529182350098165,-0.00799549897777495,-0.00191873247552278,-0.00857582940635927,"Acot7"
"10",-0.0348737989299371,-0.0309543097266133,-0.000503668829732538,0.00803261327337538,-0.00267862731828992,0.00831396496650928,-0.00791441138978667,-0.00300290965601141,-0.0209112574897096,-0.00597095056031277,"Kitl"
"11",-0.0348446809507641,-0.0300768076689756,-0.0185884653396118,0.0274831267052274,-0.0262908990357302,-0.0100246167992181,0.0140130425585796,0.0406346296424611,-0.00690206835439964,-0.0177701090898071,"Gja1"
"12",-0.0346037707748863,-0.0324288728487914,-0.00653841112670432,-0.0190092677713378,0.00793714769483215,-0.00407699984836091,-0.0312111614513585,-0.013165305597556,0.00616540415137993,-0.00446232921072838,"Nes"
"13",-0.0342305774501669,0.0116498200636038,-0.00441323224924823,-0.0260556111672968,0.0351922164506235,-0.0191472553732933,0.014788813959322,0.0306502936968388,0.00897831419258889,0.0118852896711188,"Fam111a"
"14",-0.0336811113088752,-0.0368780582589055,-0.0164168370433238,0.0191329216280685,0.00267311587440351,-0.00724908208623305,0.0218128138768022,-0.0248825115690234,-0.00593802738842348,-0.000115288162733862,"Sorbs2"
"15",-0.0336733488096237,-0.00226727413473006,0.019607722347909,-0.00726068319154349,0.00296764512438262,0.000467446749895422,0.00805663590093206,-0.00299890161845267,0.00847478823050161,0.012044982936972,"Rcc1"
"16",-0.0334169398328977,-0.0485027909084268,-0.0325013799875376,-0.00102898381120819,0.00382536226107156,-0.00248546587276969,-0.0238863791220396,0.0453609553432207,-0.0174104573083598,0.0070024546236276,"Ptp4a3"
"17",-0.0330668532864652,-0.00692757706181495,0.037135905508074,0.0120017317455924,0.014942389984581,0.00467367673732359,-0.018700102806481,-0.016551975300933,0.00539286556152838,0.0101742683888549,"Wdr43"
"18",-0.033063629591241,0.0112994172533324,0.0201436176972384,0.00470739397380731,0.0145344329445776,0.00190308471668809,-0.0241525894490649,-0.00884197368538113,-5.93730663033843e-05,0.00638381278986049,"Rrs1"
"19",-0.0328547263843337,0.0022617928726387,0.0265797972547818,-0.00503383859590549,0.01622001012512,-0.00228266794261605,-0.0017170009136827,-0.0108198259518341,0.00125760469210744,-0.0106989104544777,"Ctps"
"20",-0.0327332527446835,0.0115327459223158,0.016873765914531,-0.0129710421647032,0.0029201318376833,-0.0163684329584975,-0.00751781277563844,-0.0089601980978047,0.00144871197855295,-0.0091713237763702,"1700029F09Rik"
"21",-0.0326182059531144,-0.0208216820686639,0.0114371156321436,0.0117192691847822,0.0294881717175939,0.00599803188919553,0.0468519202624396,0.0138391637330307,0.0265651574429926,-0.0426426897758446,"Slc16a3"
"22",-0.0325231766154118,-0.0107452293452218,0.0191670260514493,0.0323079421933419,-0.0102927692556691,-0.0157552703035052,0.0291531443891067,-0.00172049791884927,0.00480817514615579,0.0191422931618755,"Spry2"
"23",-0.0324352288445554,-0.0179402479548297,0.00557136591346849,0.0207358465405919,-0.0356173438160117,-0.000276062554519678,0.0292942690551561,0.000865501494706853,-0.0180068003371457,-0.0191545047762109,"Pgm2l1"
"24",-0.0323176803781407,0.0104646600556602,0.0197763949070061,-0.014389403899139,-0.0123099651018227,0.014104332021566,-0.00983602346752907,0.00394158132517013,-0.0258667385858559,0.00621820027754361,"Hsph1"
"25",-0.0319015118587062,-0.0302150601005381,-0.00820869885520462,0.0177298028338474,-0.00308658735280414,-0.00862114378856848,0.00133420901143593,0.0015735479115882,-0.0234954373762951,-0.00182048732892385,"Slc12a2"
"26",-0.0317230853558143,0.0033239219453094,0.0278414633598375,0.0125538419292516,-0.000821797878162167,-0.00398147016932619,-0.00573874766679101,-0.00846335249071044,-0.024241954443238,-0.00478196233365341,"Ifrd1"
"27",-0.0316485489642756,-0.0325772202253156,-0.0128707220053078,0.0386678616677003,0.0183687165203921,-0.014709392495307,0.0157755193596365,0.0109655881477914,-0.000217679239869397,0.0110089745323198,"Fhl2"
"28",-0.0314335181228218,-0.0361570426641392,-0.0395256644548962,-0.0112440562691193,-0.00251896599418782,-0.0105717252713183,0.0195903040457359,0.00631627601083587,-0.00431579033803861,-0.0133017958382406,"Cd109"
"29",-0.0314324485313891,-0.0288334401414162,-0.0100683739403104,-0.013961267286334,0.0172204593290909,-0.00732748993282102,-0.0219866630906709,0.0102460826602526,-0.0203066384407311,0.0112695186772777,"Lrrfip1"
"30",-0.031099529041757,0.0188031779741341,0.00900532015523995,-0.0178027251900157,-0.0147177531273436,-0.0267077313113577,-0.00249147330730975,-0.0162616618515388,-0.00152269499839909,0.0202389851619204,"Prps1"
